,id,title,release_date,popularity,vote_average,vote_count
222,823754,Bo Burnham: Inside,2021-07-22,13.969,8.1,441
223,359940,"Three Billboards Outside Ebbing, Missouri",2017-12-01,43.272,8.075,9761
224,334543,Lion,2016-11-24,34.283,8.075,6369
225,550776,Believe Me: The Abduction of Lisa McVey,2018-09-30,25.032,8.1,592
226,8392,My Neighbor Totoro,1988-04-16,84.573,8.073,7580
227,437068,A Taxi Driver,2017-08-02,26.052,8.1,913
228,906126,Society of the Snow,2023-12-15,113.417,8.069,2452
229,831827,Far from the Tree,2021-11-24,15.023,8.1,354
230,400608,Bo Burnham: Make Happy,2016-06-03,8.342,8.1,362
231,21634,Prayers for Bobby,2009-01-24,17.878,8.1,559
232,11423,Memories of Murder,2003-05-02,35.909,8.064,3562
233,11659,The Best of Youth,2003-06-22,14.158,8.1,500
234,610461,"Veinteañera, divorciada y fantástica",2020-02-14,6.655,8.1,383
235,1091,The Thing,1982-06-25,67.129,8.058,6592
236,381284,Hidden Figures,2016-12-10,57.278,8.1,9281
237,1000492,All Your Faces,2023-03-29,14.468,8.055,460
238,8422,Rocco and His Brothers,1960-10-07,19.365,8.053,545
239,7347,Elite Squad,2007-10-12,39.257,8.051,2288
240,147,The 400 Blows,1959-06-03,24.64,8.051,2027
241,120467,The Grand Budapest Hotel,2014-02-26,69.825,8.05,14302
242,638507,How to Train Your Dragon: Homecoming,2019-12-03,45.313,8.0,889
243,522518,A Dog's Journey,2019-05-03,33.807,8.0,1422
244,42229,A Special Day,1977-08-11,13.364,8.0,621
245,1955,The Elephant Man,1980-10-09,27.077,8.045,3331
246,538362,On My Skin,2018-09-12,9.474,8.0,1827
247,800,The Young and the Damned,1950-12-09,14.38,8.0,456
248,26022,My Name Is Khan,2010-02-10,29.57,8.038,1251
249,279,Amadeus,1984-09-19,36.655,8.038,4023
250,204,The Wages of Fear,1953-04-22,27.392,8.038,877
251,895,Andrei Rublev,1966-12-16,20.861,8.037,751
252,310569,The Second Mother,2015-06-04,11.04,8.0,699
253,106646,The Wolf of Wall Street,2013-12-25,106.491,8.035,23140
254,678512,Sound of Freedom,2023-07-03,111.882,8.034,2117
255,400928,Gifted,2017-04-07,93.619,8.033,5187
256,821,Judgment at Nuremberg,1961-12-18,16.658,8.0,727
257,678580,El mesero,2021-07-15,9.648,8.0,347
258,785534,Paper Lives,2021-03-12,25.918,8.0,358
259,337404,Cruella,2021-05-26,82.954,8.028,8938
260,515001,Jojo Rabbit,2019-10-18,53.567,8.026,9119
261,264644,Room,2015-10-16,31.334,8.025,8900
262,938,For a Few Dollars More,1965-12-18,43.309,8.024,3754
263,582,The Lives of Others,2006-03-23,29.769,8.023,3486
264,449176,"Love, Simon",2018-02-16,39.505,8.0,5900
265,9277,The Sting,1973-12-25,33.129,8.0,2472
266,930094,"Red, White & Royal Blue",2023-07-27,62.208,8.02,1099
267,641,Requiem for a Dream,2000-10-06,26.085,8.019,9556
268,55960,"Toto, Peppino, and the Hussy",1956-08-23,7.493,8.0,333
269,14,American Beauty,1999-09-15,59.185,8.018,11649
270,521,Dial M for Murder,1954-05-29,21.464,8.0,2459
271,740937,Simone: Woman of the Century,2022-10-12,9.815,8.0,304
272,673,Harry Potter and the Prisoner of Azkaban,2004-05-31,137.907,8.016,20811
273,526702,Black Beauty,2020-11-27,18.614,8.0,323
274,339877,Loving Vincent,2017-06-22,19.401,8.013,2375
275,11778,The Deer Hunter,1978-12-08,30.915,8.013,3642
276,429210,Bingo: The King of the Mornings,2017-08-24,11.03,8.012,366
277,962,The Gold Rush,1925-07-12,22.184,8.0,1507
278,524,Casino,1995-11-22,44.928,8.011,5546
279,455661,In a Heartbeat,2017-06-01,7.486,8.0,983
280,15,Citizen Kane,1941-04-17,88.795,8.008,5267
281,28178,Hachi: A Dog's Tale,2009-06-08,56.889,8.007,6444
282,307,"Rome, Open City",1945-10-08,18.137,8.0,835
283,205596,The Imitation Game,2014-11-14,78.2,8.004,16503
284,568160,Weathering with You,2019-06-19,45.548,8.003,2141
285,359724,Ford v Ferrari,2019-11-13,83.523,8.003,7482
286,110416,Song of the Sea,2014-09-06,19.694,8.0,1364
287,3175,Barry Lyndon,1975-12-18,24.246,8.003,2675
288,20530,Late Spring,1949-09-13,20.913,8.001,379
289,25376,The Secret in Their Eyes,2009-08-13,29.496,8.0,2407
290,140420,Paperman,2012-11-02,14.32,7.998,1661
291,43949,Flipped,2010-08-06,39.041,8.0,2823
292,28978,The Circus,1928-01-06,14.998,8.0,744
293,947,Lawrence of Arabia,1962-12-11,49.999,7.999,2826
294,595,To Kill a Mockingbird,1962-12-20,32.284,7.997,2480
295,916224,Suzume,2022-11-11,101.027,8.002,1063
296,11658,Tae Guk Gi: The Brotherhood of War,2004-02-05,27.573,8.0,630
297,7508,Like Stars on Earth,2007-12-21,28.055,8.0,1103
298,20453,3 Idiots,2009-12-23,35.55,8.0,2255
299,12761,Autumn Sonata,1978-10-08,16.4,8.0,551
300,780,The Passion of Joan of Arc,1928-04-21,19.498,7.994,872
301,13223,Gran Torino,2008-12-12,42.137,7.993,10352
302,530915,1917,2019-12-25,49.046,7.991,11872
303,414419,Kill Bill: The Whole Bloody Affair,2011-03-27,27.588,8.0,956
304,18438,Castaway on the Moon,2009-05-14,18.179,8.0,641
305,11104,Chungking Express,1994-07-14,49.226,8.0,1666
306,1010581,My Fault,2023-06-08,274.793,7.988,2434
307,424694,Bohemian Rhapsody,2018-10-24,67.076,7.988,16415
308,19426,Nights of Cabiria,1957-10-03,16.019,8.0,718
309,9764,Dersu Uzala,1975-08-02,37.288,8.0,494
310,213,North by Northwest,1959-07-08,48.61,8.0,3899
311,12104,Pink Floyd: The Wall,1982-07-14,23.309,8.0,1427
312,14696,Ugetsu,1953-03-26,31.681,7.978,532
313,1396,Mirror,1975-03-07,25.099,7.979,890
314,640,Catch Me If You Can,2002-12-16,81.618,7.978,15046
315,10515,Castle in the Sky,1986-08-02,53.539,7.976,3972
316,5801,Pather Panchali,1955-08-26,15.221,8.0,381
317,447365,Guardians of the Galaxy Vol. 3,2023-05-03,182.143,7.976,6174
318,615457,Nobody,2021-03-18,90.596,7.975,6658
319,862,Toy Story,1995-10-30,139.201,7.973,17764
320,488623,Forgotten,2017-11-29,29.035,7.969,995
321,3090,The Treasure of the Sierra Madre,1948-01-15,20.999,7.973,1127
322,634649,Spider-Man: No Way Home,2021-12-15,240.232,7.969,19275
323,315465,The Boy and the Beast,2015-07-11,21.938,8.0,1415
324,24,Kill Bill: Vol. 1,2003-10-10,55.989,7.969,16765
325,19542,The Red Shoes,1948-09-06,20.595,8.0,609
326,627,Trainspotting,1996-02-23,37.513,7.967,9318
327,76,Before Sunrise,1995-01-27,37.605,7.968,3918
328,574074,Kitbull,2019-01-18,38.585,8.0,349
329,15383,Army of Shadows,1969-09-10,18.985,8.0,586
330,554596,No Manches Frida 2,2019-03-15,51.646,8.0,837
331,2517,Nobody Knows,2004-08-07,23.136,8.0,474
332,626332,Flamin' Hot,2023-03-11,51.743,8.0,531
333,160885,Tel chi el telùn,1999-05-12,5.911,8.0,313
334,28422,Love Exposure,2009-01-31,19.805,8.0,416
335,961,The General,1926-12-25,37.203,7.963,1160
336,38286,Three Men and a Leg,1997-12-27,8.76,8.0,2012
337,770,Gone with the Wind,1939-12-15,63.549,7.96,3857
338,20803,Ivan Vasilyevich Changes His Profession,1973-09-17,15.725,8.0,331
339,920394,My Father's Violin,2022-01-21,16.074,8.0,319
340,38360,The Cranes Are Flying,1957-10-12,19.5,8.0,345
341,1580,Rope,1948-03-11,27.972,8.0,2529
342,14160,Up,2009-05-28,134.027,7.956,19529
343,70,Million Dollar Baby,2004-12-15,47.829,7.955,9217
344,745,The Sixth Sense,1999-08-06,63.726,7.952,11196
345,1059,The Hidden Fortress,1958-12-28,16.944,8.0,571
346,426618,Where Hands Touch,2018-09-14,18.72,7.9,505
347,234,The Cabinet of Dr. Caligari,1920-02-27,25.034,7.948,1482
348,237791,The Way He Looks,2014-04-10,10.764,7.9,921
349,329,Jurassic Park,1993-06-11,34.469,7.946,15703
350,242828,When Marnie Was There,2014-07-19,43.77,7.9,1706
351,776503,CODA,2021-08-13,43.575,7.944,2075
352,5925,The Great Escape,1963-07-03,45.66,7.9,2411
353,149,Akira,1988-07-16,68.017,7.944,3983
354,76203,12 Years a Slave,2013-10-18,34.207,7.943,10947
355,3777,Throne of Blood,1957-01-15,19.824,7.9,776
356,197,Braveheart,1995-05-24,56.161,7.94,9722
357,1578,Raging Bull,1980-11-14,49.705,7.939,4121
358,11712,Sanjuro,1962-01-01,18.675,7.9,563
359,10386,The Iron Giant,1999-08-06,53.962,7.937,5315
360,10238,Cries and Whispers,1972-12-21,16.437,7.9,647
361,6977,No Country for Old Men,2007-06-13,56.79,7.937,11461
362,679,Aliens,1986-07-18,77.296,7.937,9150
363,28971,Limelight,1952-10-23,15.466,7.9,492
364,961323,Nimona,2023-06-23,67.419,7.9,918
365,41050,La Notte,1961-01-24,15.747,7.9,627
366,29264,The Exterminating Angel,1962-05-16,14.218,7.9,621
367,10242,What Ever Happened to Baby Jane?,1962-10-12,20.014,7.935,981
368,81,Nausicaä of the Valley of the Wind,1984-03-11,50.409,7.935,3374
369,11010,The Postman,1994-04-07,16.145,7.9,1098
370,78,Blade Runner,1982-06-25,81.349,7.934,13274
371,482321,Ron's Gone Wrong,2021-10-14,33.485,7.933,1751
372,158445,Miracle in Cell No. 7,2013-01-23,21.383,7.9,410
373,15244,A Man Escaped,1956-11-11,13.419,7.9,491
374,615453,Ne Zha,2019-07-26,18.834,7.9,382
375,10404,Raise the Red Lantern,1991-12-18,19.748,7.9,662
376,37797,Whisper of the Heart,1995-07-15,39.716,7.9,1879
